pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
24815188,"['Adaptor Proteins, Signal Transducing/metabolism', 'Cell Aging', 'Cell Line', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'HEK293 Cells', 'Humans', 'Phosphorylation', 'Proto-Oncogene Proteins B-raf/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'Retinoblastoma Protein/metabolism', 'Signal Transduction', 'Tumor Suppressor Proteins/metabolism']",Mig-6 participates in the regulation of cell senescence and retinoblastoma protein phosphorylation.,Cell. Signal.,Milewska and Kolch,26,,"Milewska, M. and Kolch, W.",2014,,9,1870-1877,,,,
24971481,"['Animals', 'Carcinogenesis', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Cyclin D1/antagonists & inhibitors', 'Cyclin-Dependent Kinase Inhibitor Proteins/metabolism', 'Cyclin-Dependent Kinase Inhibitor p27/metabolism', 'Cyclin-Dependent Kinases/antagonists & inhibitors', 'Galectin 3/antagonists & inhibitors/genetics/metabolism', 'Humans', 'Mice', 'Oncogenes', 'Retinoblastoma Protein/genetics', 'S-Phase Kinase-Associated Proteins/metabolism']",Ablation of galectin-3 induces p27(KIP1)-dependent premature senescence without oncogenic stress.,Cell Death Differ.,Kim et al.,21,,"Kim, SJ et al.",2014,,11,1769-1779,,,,
24990949,"['Cell Aging/physiology', 'Cell Cycle Checkpoints/physiology', 'DEAD-box RNA Helicases/genetics/metabolism', 'DNA Replication/physiology', 'Diploidy', 'Fibroblasts/cytology/metabolism', 'HEK293 Cells', 'Humans', 'Neoplasm Proteins/genetics/metabolism', 'Signal Transduction/physiology', 'Tumor Suppressor Protein p53/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",Suppression of the DHX9 helicase induces premature senescence in human diploid fibroblasts in a p53-dependent manner.,J. Biol. Chem.,Lee et al.,289,,"Lee, T et al.",2014,,33,22798-22814,,,,
25040935,"['Cell Aging/physiology', 'Fibroblasts/cytology/metabolism', 'Heterochromatin/metabolism', 'Humans', 'Interleukin-6/metabolism', 'Phosphorylation', 'Proto-Oncogene Proteins c-pim-1/metabolism', 'STAT3 Transcription Factor/metabolism', 'Signal Transduction', 'Transcriptional Activation', 'Up-Regulation']",PIM-1 modulates cellular senescence and links IL-6 signaling to heterochromatin formation.,Aging Cell,Jin et al.,13,,"Jin, B et al.",2014,,5,879-889,,,,
25051367,"['Animals', 'Cell Aging/physiology', 'Cell Cycle Checkpoints/physiology', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Female', 'HEK293 Cells', 'HMGB1 Protein/biosynthesis/genetics', 'Heterografts', 'Humans', 'Male', 'Melanoma/genetics/metabolism/pathology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Nude', 'Middle Aged', 'Promoter Regions, Genetic', 'Sp1 Transcription Factor/genetics/metabolism', 'Survival Analysis', 'Tumor Suppressor Protein p53/metabolism', 'Up-Regulation']","Overexpression of HMGB1 in melanoma predicts patient survival and suppression of HMGB1 induces cell cycle arrest and senescence in association with p21 (Waf1/Cip1) up-regulation via a p53-independent, Sp1-dependent pathway.",Oncotarget,Li et al.,5,,"Li, Q et al.",2014,,15,6387-6403,,,,
25071344,"['Adenoviridae/genetics', 'Carcinoma/genetics/metabolism/pathology', 'Cell Aging', 'Cell Line, Tumor', 'Cell Movement', 'Cell Survival', 'Down-Regulation', 'Forkhead Box Protein M1', 'Forkhead Transcription Factors/genetics/metabolism', 'Gallbladder Neoplasms/genetics/metabolism/pathology', 'Gene Expression Regulation, Neoplastic', 'Genetic Vectors', 'Humans', 'Neoplasm Invasiveness', 'RNA Interference', 'RNA, Messenger/metabolism', 'Signal Transduction', 'Time Factors', 'Transfection']","Down-regulation of FoxM1 inhibits viability and invasion of gallbladder carcinoma cells, partially dependent on inducement of cellular senescence.",World J. Gastroenterol.,Tao et al.,20,,"Tao, J et al.",2014,,28,9497-9505,,,,
25160591,"['Cell Aging/physiology', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Humans', 'Inflammation Mediators/metabolism', 'Oncogenes', 'Phosphorylation', 'Repressor Proteins/antagonists & inhibitors/genetics/metabolism']",TRIM28/KAP1 regulates senescence.,Immunol. Lett.,Santos and Gil,162,,"Santos, J. and Gil, J.",2014,,1 Pt B,281-289,,,,
25328137,"['Animals', 'Cell Aging/genetics', 'Cells, Cultured', 'Feedback, Physiological', 'Gene Expression Regulation', 'HEK293 Cells', 'Humans', 'Male', 'Mice', 'Neural Stem Cells/physiology', 'Polycomb Repressive Complex 1/genetics', 'Promoter Regions, Genetic', 'Protein Binding', 'Receptors, Cytoplasmic and Nuclear/metabolism/physiology']",The nuclear receptor NR2E1/TLX controls senescence.,Oncogene,O'Loghlen et al.,34,,"O'Loghlen, A et al.",2015,,31,4069-4077,,,,
25336634,"['Acetylcysteine/pharmacology', 'Ataxia Telangiectasia Mutated Proteins/antagonists & inhibitors/genetics/metabolism', 'Cell Aging/drug effects/genetics', 'Cell Line', 'DNA-Binding Proteins/antagonists & inhibitors/genetics/metabolism', 'Fibroblasts/cytology/drug effects/metabolism', 'Gene Expression Regulation', 'Genome, Human', 'Genomic Instability', 'HeLa Cells', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Oxidation-Reduction/drug effects', 'Oxidative Stress', 'Paraquat/pharmacology', 'Protein Kinase Inhibitors/pharmacology', 'RNA, Small Interfering/genetics/metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'Selenoproteins/antagonists & inhibitors/genetics/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/antagonists & inhibitors/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",Selenoprotein H suppresses cellular senescence through genome maintenance and redox regulation.,J. Biol. Chem.,Wu et al.,289,,"Wu, RT et al.",2014,,49,34378-34388,,,,
25344918,"['Apoptosis', 'Cell Aging', 'Cell Line, Tumor', 'Chromatin Immunoprecipitation', 'Humans', 'Peptide Hormones/metabolism', 'Promoter Regions, Genetic', 'Protein Binding', 'Proto-Oncogene Proteins c-myc/antagonists & inhibitors/metabolism', 'RNA, Messenger/metabolism', 'Stomach Neoplasms/metabolism', 'Telomerase/metabolism', 'Telomere/metabolism/ultrastructure', 'Telomeric Repeat Binding Protein 1/metabolism']",Gastrokine 1 induces senescence and apoptosis through regulating telomere length in gastric cancer.,Oncotarget,Yoon et al.,5,,"Yoon, JH et al.",2014,,22,11695-11708,,,,
25367309,"['AMP-Activated Protein Kinases/genetics', 'ATP Citrate (pro-S)-Lyase/genetics/metabolism', 'Acetyl Coenzyme A/metabolism', 'Animals', 'Carcinogenesis/genetics', 'Cell Aging/genetics', 'Cytosol/metabolism/pathology', 'Gene Expression Regulation, Enzymologic', 'Gene Knockdown Techniques', 'HEK293 Cells', 'Humans', 'Neoplasms/genetics/pathology', 'Rats', 'Signal Transduction/genetics', 'Tumor Suppressor Protein p53/biosynthesis']",ATP-citrate lyase regulates cellular senescence via an AMPK- and p53-dependent pathway.,FEBS J.,Lee et al.,282,,"Lee, JH et al.",2015,,2,361-371,,,,
25382750,"['Antineoplastic Agents/pharmacology', 'Binding Sites', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Cell Proliferation', 'Cell Transformation, Neoplastic/metabolism/pathology', 'Colorectal Neoplasms/enzymology/genetics/mortality/pathology', 'DNA Damage', 'Dose-Response Relationship, Drug', 'Feedback, Physiological', 'Fibroblasts/drug effects/enzymology/pathology', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Phenotype', 'Prognosis', 'Promoter Regions, Genetic', 'Protein Stability', 'Proteolysis', 'Proto-Oncogene Proteins c-mdm2/genetics/metabolism', 'RNA Interference', 'Risk Factors', 'Signal Transduction', 'Stomach Neoplasms/enzymology/genetics/mortality/pathology', 'Time Factors', 'Transfection', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Tumor Suppressor Proteins/metabolism', 'Ubiquitination', 'Ubiquitins/genetics/metabolism']",UBTD1 induces cellular senescence through an UBTD1-Mdm2/p53 positive feedback loop.,J. Pathol.,Zhang et al.,235,,"Zhang, XW et al.",2015,,4,656-667,,,,
25384549,"['Cell Aging/physiology', 'Cell Culture Techniques', 'Cells, Cultured', 'Citric Acid Cycle/physiology', 'Dicarboxylic Acid Transporters/metabolism', 'Energy Metabolism/physiology', 'Humans', 'Organic Anion Transporters, Sodium-Dependent/metabolism', 'Oxidative Stress/physiology', 'Reactive Oxygen Species/metabolism', 'Signal Transduction/physiology', 'Symporters/metabolism', 'Up-Regulation', 'beta-Galactosidase/metabolism']","NaDC3 Induces Premature Cellular Senescence by Promoting Transport of Krebs Cycle Intermediates, Increasing NADH, and Exacerbating Oxidative Damage.",J. Gerontol. A Biol. Sci. Med. Sci.,Ma et al.,71,,"Ma, Y et al.",2016,,1,01-Dec,,,,
25412309,"['Animals', 'Antibiotics, Antineoplastic/pharmacology', 'COS Cells', 'Cell Aging/drug effects/genetics', 'Cell Cycle/drug effects/genetics', 'Cercopithecus aethiops', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p27/genetics/metabolism', 'DNA Damage', 'Doxorubicin/pharmacology', 'Feedback, Physiological', 'Gene Expression Regulation', 'Genes, Reporter', 'Humans', 'Interleukin-6/genetics/secretion', 'Interleukin-8/genetics/metabolism', 'MCF-7 Cells', 'Oxidative Stress', 'Plasmids', 'Protein Kinase C/genetics/metabolism', 'Receptors, Interleukin-6/genetics/metabolism', 'Signal Transduction', 'Transfection', 'beta-Galactosidase/genetics/metabolism']",PKCη promotes senescence induced by oxidative stress and chemotherapy.,Cell Death Dis,Zurgil et al.,5,,"Zurgil, U et al.",2014,,,e1531,,,,
25412315,"['14-3-3 Proteins/antagonists & inhibitors/genetics/metabolism', 'Adaptor Proteins, Signal Transducing/antagonists & inhibitors/genetics/metabolism', 'Animals', 'Apoptosis Regulatory Proteins/antagonists & inhibitors/genetics/metabolism', 'Cell Aging/genetics', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p27/genetics/metabolism', 'Fibroblasts/cytology/metabolism', 'G1 Phase Cell Cycle Checkpoints/genetics', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Mice', 'Mice, Knockout', 'Neuroglia/metabolism/pathology', 'Proteolysis', 'RNA, Small Interfering/genetics/metabolism', 'S-Phase Kinase-Associated Proteins/genetics/metabolism', 'STAT3 Transcription Factor/genetics/metabolism', 'Signal Transduction', 'Ubiquitin/genetics/metabolism']",BIS targeting induces cellular senescence through the regulation of 14-3-3 zeta/STAT3/SKP2/p27 in glioblastoma cells.,Cell Death Dis,Lee et al.,5,,"Lee, JJ et al.",2014,,,e1537,,,,
25655101,"['Apoptosis Regulatory Proteins/deficiency/genetics/metabolism', 'Autophagy/physiology', 'CCAAT-Enhancer-Binding Protein-beta/biosynthesis', 'Cell Aging/genetics', 'Cell Line', 'Cytokines/biosynthesis', 'Endothelial Cells/cytology/metabolism/physiology', 'Humans', 'Membrane Proteins/deficiency/genetics/metabolism', 'Mutation', 'Proto-Oncogene Proteins/deficiency/genetics/metabolism']",The cerebral cavernous malformation 3 gene is necessary for senescence induction.,Aging Cell,Guerrero et al.,14,,"Guerrero, A et al.",2015,,2,274-283,,,,
25772238,"['Androgens/deficiency/pharmacology', 'Apoptosis/drug effects', 'Blotting, Western', 'CCAAT-Enhancer-Binding Protein-beta/genetics/metabolism', 'Cell Aging/drug effects', 'Cell Proliferation/drug effects', 'Chromatin Immunoprecipitation', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Immunoenzyme Techniques', 'Male', 'Promoter Regions, Genetic/genetics', 'Prostatic Neoplasms/drug therapy/metabolism/pathology', 'RNA, Messenger/genetics', 'Real-Time Polymerase Chain Reaction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcription, Genetic/drug effects', 'Tumor Cells, Cultured']",CCAAT/Enhancer binding protein β controls androgen-deprivation-induced senescence in prostate cancer cells.,Oncogene,Barakat et al.,34,,"Barakat, DJ et al.",2015,,48,5912-5922,,,,
25785833,"['Apoptosis Regulatory Proteins/genetics', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'DNA Damage', 'Fibroblasts/cytology', 'Gene Knockdown Techniques', 'Humans', 'Proto-Oncogene Proteins/genetics', 'RNA, Small Interfering/genetics', 'Tumor Suppressor Protein p14ARF/metabolism', 'Tumor Suppressor Protein p53/deficiency/genetics/metabolism', 'Tumor Suppressor Proteins/deficiency/genetics', 'bcl-2-Associated X Protein/genetics']",Knockdown of CDK2AP1 in primary human fibroblasts induces p53 dependent senescence.,PLoS ONE,Alsayegh et al.,10,,"Alsayegh, KN et al.",2015,,3,e0120782,,,,
25819580,"['Cell Aging', 'Cell Proliferation', 'Cells, Cultured', 'Chondrocytes/metabolism/pathology', 'DNA Damage', 'Histones/metabolism', 'Humans', 'Matrix Metalloproteinase 1/genetics/metabolism', 'Matrix Metalloproteinase 13/genetics/metabolism', 'Osteoarthritis, Knee/pathology', 'RNA Interference', 'RNA, Messenger/metabolism', 'Real-Time Polymerase Chain Reaction', 'Sirtuins/deficiency/genetics', 'Telomere', 'Up-Regulation', 'beta-Galactosidase/metabolism']","Depletion of SIRT6 causes cellular senescence, DNA damage, and telomere dysfunction in human chondrocytes.",Osteoarthr. Cartil.,Nagai et al.,23,,"Nagai, K et al.",2015,,8,1412-1420,,,,
26021512,"['Apoptosis/genetics/physiology', 'Cell Aging/genetics/physiology', 'Cell Line', 'Cell Proliferation/genetics/physiology', 'Cells, Cultured', 'Dependovirus/genetics', 'Humans', 'Immunohistochemistry', 'Intervertebral Disc/metabolism/pathology', 'Male', 'Thymosin/genetics/metabolism']",Thymosin Beta-4 Recombinant Adeno-associated Virus Enhances Human Nucleus Pulposus Cell Proliferation and Reduces Cell Apoptosis and Senescence.,Chin. Med. J.,Wang et al.,128,,"Wang, YY et al.",2015,,11,1529-1535,,,,
26206181,"['Cell Aging/physiology', 'Cell Differentiation/physiology', 'Cell Line', 'Cell Proliferation/physiology', 'Fibroblasts/cytology/physiology', 'Gene Expression Profiling/methods', 'Gene Expression Regulation/physiology', 'Humans', 'Proteome/metabolism', 'Proteomics/methods', 'Stress, Physiological/physiology']",Proteomic analysis reveals novel common genes modulated in both replicative and stress-induced senescence.,J Proteomics,Succoio et al.,128,,"Succoio, M et al.",2015,,,18-29,,,,
26230157,"['Cell Aging', 'Human Umbilical Vein Endothelial Cells/cytology/enzymology', 'Humans', 'Immediate-Early Proteins/metabolism', 'Models, Biological', 'Oxidative Stress', 'Protein Binding', 'Protein-Serine-Threonine Kinases/metabolism', 'Reactive Oxygen Species/metabolism', 'Telomerase/metabolism']",Serum- and Glucocorticoid-Inducible Kinase 1 Delay the Onset of Endothelial Senescence by Directly Interacting with Human Telomerase Reverse Transcriptase.,Rejuvenation Res,Basello et al.,19,,"Basello, K et al.",2016,,1,79-89,,,,
26381291,"['Cell Aging/genetics', 'Cell Cycle Checkpoints/genetics', 'Cell Proliferation/genetics', 'Cells, Cultured', 'Dual-Specificity Phosphatases/deficiency/genetics/metabolism', 'Gene Silencing', 'HEK293 Cells', 'Hep G2 Cells', 'Humans', 'Liver Neoplasms/genetics/metabolism/pathology', 'Mitogen-Activated Protein Kinase Phosphatases/deficiency/genetics/metabolism']",DUSP16 ablation arrests the cell cycle and induces cellular senescence.,FEBS J.,Zhang et al.,282,,"Zhang, H et al.",2015,,23,4580-4594,,,,
26404840,"['Aging/genetics/metabolism', 'Animals', 'Ataxia Telangiectasia Mutated Proteins/metabolism', 'Autophagy/genetics', 'Brain/metabolism', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16', 'DNA Damage', 'Fibroblasts', 'GATA4 Transcription Factor/genetics/metabolism', 'Gene Expression Profiling', 'Humans', 'Inflammation/genetics', 'Interleukin-1alpha/genetics/metabolism', 'Mice', 'Mice, Inbred C57BL', 'MicroRNAs/genetics/metabolism', 'NF-kappa B/metabolism', 'Phenotype', 'Promoter Regions, Genetic', 'Tumor Necrosis Factor Receptor-Associated Peptides and Proteins/genetics/metabolism', 'Tumor Suppressor Protein p53/metabolism']",The DNA damage response induces inflammation and senescence by inhibiting autophagy of GATA4.,Science,Kang et al.,349,,"Kang, C et al.",2015,,6255,aaa5612,,,,
26414199,"['Aging/metabolism', 'Animals', 'Brain/cytology/physiology', 'Cell Aging', 'Enzyme Stability', 'Female', 'Fibroblasts/cytology', 'Gene Expression Regulation, Enzymologic', 'Gene Silencing', 'HeLa Cells', 'Histone Deacetylases/deficiency/genetics/metabolism', 'Humans', 'Male', 'Mice', 'RNA, Small Interfering/genetics', 'Repressor Proteins/deficiency/genetics/metabolism', 'Sirtuin 1/metabolism', 'Sumoylation']",HDAC4 stabilizes SIRT1 via sumoylation SIRT1 to delay cellular senescence.,Clin. Exp. Pharmacol. Physiol.,Han et al.,43,,"Han, X et al.",2016,,1,41-46,,,,
26439195,"['Apoptosis', 'Basic Helix-Loop-Helix Leucine Zipper Transcription Factors/genetics/metabolism', 'Blotting, Western', 'Cell Aging', 'Cell Proliferation', 'Cells, Cultured', 'Chromatin Immunoprecipitation', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Fluorescent Antibody Technique', 'Humans', 'Immunoenzyme Techniques', 'RNA, Messenger/genetics', 'Real-Time Polymerase Chain Reaction', 'Retinal Pigment Epithelium/cytology/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Suppressor Protein p53/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",Ectopic AP4 expression induces cellular senescence via activation of p53 in long-term confluent retinal pigment epithelial cells.,Exp. Cell Res.,Wang et al.,339,,"Wang, Y et al.",2015,,1,135-146,,,,
26500063,[],The homeoprotein SIX1 controls cellular senescence through the regulation of p16INK4A and differentiation-related genes.,Oncogene,Adrados et al.,35,,"Adrados, I et al.",2016,,27,3485-3494,,,,
26527005,"['Amino Acid Sequence', 'Cell Aging', 'Cells, Cultured', 'Endopeptidases/genetics/metabolism', 'Gene Silencing', 'HEK293 Cells', 'Humans', 'Male', 'Molecular Sequence Data', 'Nuclear Proteins/genetics/metabolism', 'Prostatic Neoplasms/metabolism', 'Proteolysis', 'Repressor Proteins/genetics/metabolism', 'Sumoylation']",SPOP E3 Ubiquitin Ligase Adaptor Promotes Cellular Senescence by Degrading the SENP7 deSUMOylase.,Cell Rep,Zhu et al.,13,,"Zhu, H et al.",2015,,6,1183-1193,,,,
26529363,"['Breast Neoplasms/genetics', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Down-Regulation', 'Female', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Humans', 'Nuclear Proteins/genetics/metabolism', 'Phosphoproteins/genetics/metabolism', 'Proto-Oncogene Proteins c-myc/metabolism', 'RNA, Small Interfering/pharmacology', 'Retinoblastoma Binding Proteins/metabolism', 'Signal Transduction', 'Ubiquitin-Protein Ligases/metabolism']",Suppression of RAD21 Induces Senescence of MDA-MB-231 Human Breast Cancer Cells Through RB1 Pathway Activation Via c-Myc Downregulation.,J. Cell. Biochem.,Zhu et al.,117,,"Zhu, S et al.",2016,,6,1359-1369,,,,
26583757,"['Cell Aging', 'Cells, Cultured', 'Genes, p16', 'Humans', 'NF-kappa B/physiology', 'Protein Kinases/physiology', 'Retinoblastoma Protein/physiology', 'Signal Transduction', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/physiology']",Screening of a kinase library reveals novel pro-senescence kinases and their common NF-κB-dependent transcriptional program.,Aging (Albany NY),Ferrand et al.,7,,"Ferrand, M et al.",2015,,11,986-981003,,,,
26683595,"['Animals', 'Calcium-Binding Proteins/metabolism', 'Carcinoma, Hepatocellular/enzymology/pathology', 'Cell Aging/physiology', 'Cell Proliferation', 'Disease Models, Animal', 'Female', 'Glycogen Synthase Kinase 3/metabolism', 'Glycogen Synthase Kinase 3 beta', 'Heterografts', 'Humans', 'Liver Neoplasms/enzymology/pathology', 'Membrane Proteins/metabolism', 'Mice', 'Mice, Nude', 'Mixed Function Oxygenases/metabolism', 'Muscle Proteins/metabolism', 'Phosphorylation', 'Random Allocation', 'Sensitivity and Specificity', 'Tumor Cells, Cultured']",Aspartate β-hydroxylase modulates cellular senescence through glycogen synthase kinase 3β in hepatocellular carcinoma.,Hepatology,Iwagami et al.,63,,"Iwagami, Y et al.",2016,,4,1213-1226,,,,
26795560,"['Animals', 'Binding Sites', 'Cell Adhesion', 'Cell Aging', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p27/genetics/metabolism', 'Down-Regulation', 'Fibroblasts/physiology', 'Gene Expression', 'Gene Silencing', 'Genetic Loci', 'Humans', 'Mice', 'NIH 3T3 Cells', 'Nanog Homeobox Protein/physiology']",Nanog induces suppression of senescence through downregulation of p27KIP1 expression.,J. Cell. Sci.,Münst et al.,129,,"Münst, B et al.",2016,,5,912-920,,,,
26802028,"['Cell Aging/genetics', 'Cell Line, Tumor', 'Chromosomal Proteins, Non-Histone/genetics/metabolism', 'Endothelial Cells/metabolism', 'Humans', 'Neoplasm Proteins/genetics', 'Transfection', 'X-Linked Inhibitor of Apoptosis Protein/genetics/metabolism']","XIAP-associating factor 1, a transcriptional target of BRD7, contributes to endothelial cell senescence.",Oncotarget,Heo et al.,7,,"Heo, JI et al.",2016,,5,5118-5130,,,,
26833729,"['Ataxia Telangiectasia Mutated Proteins/metabolism', 'Cell Aging/genetics', 'Cell Line', 'Computational Biology', 'Gene Expression Regulation/genetics', 'Homeodomain Proteins/genetics/metabolism', 'Humans', 'Reproducibility of Results', 'Signal Transduction/genetics', 'Telomere Homeostasis/genetics', 'Transcription Factors/genetics/metabolism', 'Transcriptional Activation/genetics', 'Tumor Suppressor Protein p53/metabolism']",A gain-of-function senescence bypass screen identifies the homeobox transcription factor DLX2 as a regulator of ATM-p53 signaling.,Genes Dev.,Wang et al.,30,,"Wang, Y et al.",2016,,3,293-306,,,,
27160904,[],USP1 Regulates Cellular Senescence by Controlling Genomic Integrity.,Cell Rep,Ogrunc et al.,15,,"Ogrunc, M et al.",2016,,7,1401-1411,,,,
27606879,[],RNA-Binding Protein FXR1 Regulates p21 and TERC RNA to Bypass p53-Mediated Cellular Senescence in OSCC.,PLoS Genet.,Majumder et al.,12,,"Majumder, M et al.",2016,,9,e1006306,,,,
