"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
314,"gpa-3","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Reduction in mean lifespan of 15% in knockouts and no change when gpa-3 is overexpressed.","GNAO1","Lans and Jansen, 2006",17187771,"","","","",179319,"Cel.19386","E02C12.5","","",NULL
315,"gpa-5","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Increase in maximum lifespan by up to 10% in knockouts and decrease of 10% when gpa-5 is overexpressed.","GNAZ","Lans and Jansen, 2006",17187771,"","","","",180527,"Cel.807","F53B1.7","","",NULL
316,"gpa-6","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Increase in mean lifespan by up to 10% in knockouts and no change when gpa-6 is overexpressed.","GNAO1","Lans and Jansen, 2006",17187771,"","","","",181442,"Cel.806","F48C11.1","","",NULL
317,"gpa-8","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Increase in mean lifespan by up to 20% in knockouts and decrease of 10% when gpa-8 is overexpressed.","GNAT2","Lans and Jansen, 2006",17187771,"","","","",179731,"Cel.3257","F56H9.3","","",NULL
318,"gpa-9","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Increase in maximum lifespan by up to 50% in knockouts and decrease by 20% in mean lifespan, but surprisingly increase in maximum lifespan by up to 20%, when gpa-9 is overexpressed.","GNAT2","Lans and Jansen, 2006",17187771,"","","","gpa-8, gpa-9",191659,"Cel.28724","F56H9.4","","",NULL
319,"GPA2","Gpa2p","Saccharomyces cerevisiae","Encodes G-protein alpha subunit, which acts in parallel to Ras pathway to activate adenylate cyclase","Deletion increases lifespan by about 50%.","GNAI3","Lin et al., 2000",11000115,"","GPA2","","",856741,"","YER020W","","SSP101",NULL
320,"gpc-1","G Protein, Gamma subunit","Caenorhabditis elegans","G Protein, Gamma subunit","Up to 10% increase in mean lifespan in knockouts, dependent on daf-16.","GNG12","Lans and Jansen, 2006",17187771,"","","","",181424,"Cel.20513","K02A4.2","","",NULL
321,"gpd-2","GPD (glyceraldehyde 3-phosphate dehydrogenase)","Caenorhabditis elegans","Glyceraldehyde 3-phosphate dehydrogenase","RNA interference increased mean lifespan by 6% in daf-2 mutants.","GAPDH","Dong et al., 2007",17673661,"Gm13882","TDH3, TDH2, TDH1","Gapdh1, Gapdh2","gpd-4, gpd-1, gpd-3, gpd-2",3565504,"Cel.23529","K10B3.8","","",NULL
322,"gpi-1","Glucose-6-Phosphate Isomerase","Caenorhabditis elegans","Glucose-6-phosphate isomerase","RNA interference extends lifespan.","GPI","Hansen et al., 2005",16103914,"Gpi1","PGI1","Pgi","gpi-1",173227,"Cel.19747","Y87G2A.8","","",NULL
323,"GPR1","Gpr1p","Saccharomyces cerevisiae","Interacts with Gpa2p and regulates cAMPPKA signalling pathway","Deletion increases lifespan by about 50%.","GPR1","Lin et al., 2000",11000115,"","GPR1","","",851527,"","YDL035C","","",NULL
324,"Gpx4","Glutathione peroxidase 4","Mus musculus","Detoxification of oxidative damage to membrane lipids","Heterozygous knockouts have a 7% increase in median lifespan.","GPX4","Ran et al., 2007",15496407,"Gpx4","","PHGPx","F26E4.12, R05H10.5",625249,"Mm.359573","ENSMUSG00000075706","","PHGPx snGPx mtPHGPx 1700027O09Rik",NULL
325,"grl-19","GRound-Like (grd related)","Caenorhabditis elegans","","RNA interference increased mean lifespan by 27%.","KRTAP17-1","Kim et al., 2007",17608836,"","","","",176843,"Cel.29158","R02D3.6","","",NULL
326,"gro-1","abnormal GROwth rate","Caenorhabditis elegans","tRNA delta(2)-isopentenylpyrophosphate transferase","Mutation extends lifespan extension by 29%.","TRIT1","Lakowski and Hekimi, 1996",8638122,"Trit1","MOD5","CG31381","gro-1",175725,"Cel.19334","ZC395.6","","",NULL
327,"Trxr-1","Thioredoxin reductase-1","Drosophila melanogaster","Redox regulation and oxidative defence","Overexpression of glutathione reductase in transgenic flies results in increased lifespan and oxidative stress resistance, but only under hyperoxia.","GSR","Mockett et al., 1999",10506576,"","","","",31760,"","","","2151 anon-WO03040301.185 anon-WO03040301.187 CG215",NULL
328,"gst-10","Glutathione S-Transferase","Caenorhabditis elegans","Conjugation of the lipid peroxidation product 4-hydroxynonenal (4-HNE)","Overexpression resulted in transgenic animals with enhanced stress resistance and increased lifespan by 13-22%.","GSTP1","Ayyadevara et al., 2005",16164425,"","","","",178725,"Cel.34291","Y45G12C.2","","",NULL
329,"gst-5","Glutathione S-Transferase","Caenorhabditis elegans","Conjugation of the lipid peroxidation product 4-hydroxynonenal (4-HNE)","RNA interference decreased maximum lifespan.","CHST7","Ayyadevara et al., 2006",17157356,"","","","",187537,"Cel.14876","R03D7.6","","",NULL
330,"H06H21.8","Protein H06H21.8","Caenorhabditis elegans","Predicted small molecule kinase","RNA interference extended lifespan.","","Hamilton et al., 2005",15998808,"","","","",186700,"Cel.8684","H06H21.8","","",NULL
331,"H28O16.1","Protein H28O16.1","Caenorhabditis elegans","F0F1-type ATP synthase","RNA interference in adulthood extended mean lifespan by 27%.","ATP5A1","Curran and Ruvkun, 2007",17411345,"Atp5a1","ATP1","blw","H28O16.1",173134,"Cel.22874","H28O16.1","","",NULL
332,"HAP4","Hap4p","Saccharomyces cerevisiae","Transcription factor required for the metabolic shift from fermentation to respiration","Overexpression extends lifespan about 40% under growth conditions favoring fermentation.","GFPT2","Lin et al., 2002",12124627,"","","","",853751,"","YKL109W","","",NULL
333,"HAT2","Hat2p","Saccharomyces cerevisiae","","Mutants have an extended lifespan (by 30%).","RBBP4","Rosaleny et al., 2005",16023114,"","HAT2","","",856654,"","YEL056W","","",NULL
334,"Hells","Proliferation associated SNF-2-like gene","Mus musculus","Involved in global genome methylation","Gene disruption results in growth retardation and signs of premature ageing such as graying and loss of hair, reduced skin fat deposition, osteoporosis, kyphosis, cachexia, and premature death.","HELLS","Sun et al., 2004",15105378,"Hells","","","",15201,"Mm.392920","ENSMUSG00000025001","Q60848","LSH Lysh PASG YFK8 AI323785 E130115I21Rik",NULL
335,"hhat-2","Homolog of Hedgehog AcylTransferase","Caenorhabditis elegans","Hedgehog acyltransferase","RNA interference increased mean lifespan by 50%.","HHAT","Kim et al., 2007",17608836,"Hhat","","rasp","hhat-1, hhat-2",190374,"Cel.11873","Y57G11C.17","","",NULL
336,"his-71","HIStone","Caenorhabditis elegans","H3 histone","RNA interference decreased median lifespan by 19% in wild type animals and 19% in daf-2 mutants.","H3F3A","Samuelson et al., 2007",18006689,"","","","",181057,"Cel.17947","F45E1.6","","",NULL
337,"hk","hook","Drosophila melanogaster","Coiled-coiled, MVB interactions","Loss-of-function mutation reduces maximum lifespan by 30%.","HOOK3","Simonsen et al., 2007",17435236,"Hook3","","hk","",35169,"Dm.2576","FBgn0001202","","CG10653 dHk Dmel\CG10653",NULL
338,"hpk-1","Homeodomain interacting Protein Kinase","Caenorhabditis elegans","Homeodomain interacting protein kinase","RNA interference decreased median lifespan by 37% in wild type animals and 40% in daf-2 mutants.","HIPK1","Samuelson et al., 2007",18006689,"","","","hpk-1",180695,"Cel.17353","F20B6.8","","",NULL
339,"SRS2","Srs2p","Saccharomyces cerevisiae","DNA helicase and DNA-dependent ATPase involved in DNA repair","Mutants have a shortened lifespan.","","McVey et al., 2001",11290710,"","","","",853353,"","YJL092W","","HPR5",NULL
340,"hrp-1","human HnRNP A1 homolog","Caenorhabditis elegans","RNA metabolism","RNA interference in adulthood extended mean lifespan by 49%.","HNRPA3","Curran and Ruvkun, 2007",17411345,"Hnrnpa3","","","hrp-1",177101,"Cel.7537","F42A6.7","","",NULL
341,"hsf-1","Heat shock transcription factor 1","Caenorhabditis elegans","Transcription factor that is activated upon heat shock","RNA interference suppressed normal dauer formation and life-extension due to insulin-like signalling.","","Morley and Morimoto, 2004",14668486,"","","","hsf-1",173078,"Cel.16386","Y53C10A.12","","",NULL
342,"hsp-16.1","Heat Shock Protein","Caenorhabditis elegans","Stress-induced chaperone","Overexpression enhanced stress resistance and extended lifespan.","CRYAB","Walker and Lithgow, 2003",12882326,"","","","",179286,"Cel.3204","T27E4.8","","",NULL
343,"hsp-16.48","Heat Shock Protein","Caenorhabditis elegans","Stress-induced chaperone","Overexpression enhanced stress resistance and extended lifespan.","CRYAB","Walker and Lithgow, 2003",12882326,"","","","",179287,"Cel.17997","T27E4.9","","",NULL
344,"hsp-16.49","Heat Shock Protein","Caenorhabditis elegans","Stress-induced chaperone","Overexpression enhanced stress resistance and extended lifespan.","CRYAB","Walker and Lithgow, 2003",12882326,"","","","",179288,"Cel.32991","T27E4.9","","",NULL
345,"hsp-4","Heat Shock Protein","Caenorhabditis elegans","Response to heat shock","RNA interference resulted in sick, short-lived adults.","HSPA5","Olsen et al., 2006",16741121,"Hspa5","KAR2","Hsc70-3","hsp-3, hsp-4",174203,"Cel.5771","F43E2.8","","",NULL
346,"hsp-6","Heat shock 70kDa protein 9B (mortalin-2)","Caenorhabditis elegans","Stress-induced chaperone","Overexpression in transgenic worms extended lifespan by 43% for mean and 45% for maximum lifespan.","HSPA9B","Yokoyama et al., 2002",11959102,"Hspa9","SSC1","Hsc70-5","hsp-6",178873,"Cel.22952","C37H5.8","","",NULL
347,"HSP104","chaperone ATPase HSP104","Saccharomyces cerevisiae","Heat shock protein","A 40% reduction in replicative lifespan was observed in knockouts. Overexpression had no effect on replicative lifespan but suppressed the reduced lifespan of Sir2-deficient cells.","","Erjavec et al., 2007",17908928,"","HSP104","","",850633,"","YLL026W","","",NULL
1737,"Rps6kb1","ribosomal protein S6 kinase, polypeptide 1","Mus musculus","","","","",19797661,"","","","",72508,"","ENSMUSG00000020516","","S6K1 70kDa p70s6k AA959758 AI256796 AI314060 p70/8",NULL
1738,"Prkar2b","protein kinase, cAMP dependent regulatory, type II beta","Mus musculus","","","","",0,"","","","",19088,"","ENSMUSG00000002997","","Pkarb2 AI451071 AW061005 RII(beta) PKARIIbeta",NULL
349,"Hsp26","Heat shock protein 26","Drosophila melanogaster","Heat shock response","Overexpression increased stress resistance and extended the mean lifespan by 30%.","","Wang et al., 2004",15308776,"","","","",39075,"Dm.907","FBgn0001225","","26 26K CG4183 Dmel\CG4183 DmHsp26 hsp 26 hsp26 HSP",NULL
350,"Hsp27","Heat shock protein 27","Drosophila melanogaster","Heat shock response","Overexpression increased stress resistance and extended the mean lifespan by 30%.","HSPB1","Wang et al., 2004",15308776,"","","","",39078,"Dm.2803","FBgn0001226","","27 27K 28 anon-WO0140519.69 CG4466 Dhsp27 Dmel\CG4",NULL
351,"Hsp68","Heat shock protein 68","Drosophila melanogaster","Response to heat shock","Overexpression extends lifespan.","","Wang et al., 2003",14602080,"","","","",42852,"Dm.23337","FBgn0001230","","68 CG5436 Dmel\CG5436 Hsp-68 hsp68 HSP68",NULL
352,"hsp70","Heat Shock Protein","Drosophila melanogaster","Heat shock response","Overexpression in transgenic flies extended lifespan.","HSPA1A, HSPA1B","Tatar et al., 1997",9363888,"","","","",NULL,"","","","",NULL
353,"HST2","Hst2p","Saccharomyces cerevisiae","Cytoplasmic member of the silencing information regulator 2 (Sir2) family","Overexpression results in replicative lifespan extension.","SIRT2","Lamming et al., 2005",16051752,"Sirt2","HST2","Sirt2","",856092,"","YPL015C","","",NULL
354,"htp-3","Him-Three Paralog","Caenorhabditis elegans","Chromatin modificatioon","RNA interference in adulthood extended mean lifespan by 19%.","NEFH","Curran and Ruvkun, 2007",17411345,"","","","",172099,"Cel.18581","F57C9.5","","",NULL
355,"Htr1b","5-hydroxytryptamine (serotonin) receptor 1B","Mus musculus","5-hydroxytryptamine (serotonin) receptor 1B","Knockout mice displayed a decreased lifespan and early age-related motor decline.","HTR1B","Sibille et al., 2007",17420766,"","","","",15551,"Mm.445308","ENSMUSG00000049511","P28334","",NULL
356,"hus-1","human HUS1 related","Caenorhabditis elegans","DNA damage checkpoint protein","RNA interference increased mean lifespan by 11%. In hus-1 mutants, RNA interference of cep-1 did not increase lifespan, suggesting both genes influence lifespan through the same pathway.","HUS1","Arum et al., 2007",17895432,"Hus1","","Hus1-like","hus-1",171939,"Cel.19590","H26D21.1","","",NULL
357,"HXK2","hexokinase 2","Saccharomyces cerevisiae","Catalyzes the addition of phosphate to glucose to make glucose-6-phosphate","Deletion extends lifespan about 50%.","GCK","Lin et al., 2000",11000115,"Hk1","HXK1, HXK2","Hex-t2","",852639,"","YGL253W","","HEX1 HKB SCI2",NULL
358,"IDH2","Idh2p","Saccharomyces cerevisiae","Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase","Deletion increased the mean replicative lifespan by about 30%.","IDH3A","Kaeberlein et al., 2005",16293764,"Idh3a","IDH2","l(1)G0156","F43G9.1",854303,"","YOR136W","","",NULL
359,"ife-1","Initiation Factor 4E (eIF4E) family","Caenorhabditis elegans","A scaffold protein for translation initiation factors","RNA interference increased maximum lifespan by 7-10%.","EIF4E","Pan et al., 2007",17266680,"","","","",176755,"Cel.23053","F53A2.6","","",NULL
360,"ife-2","Initiation Factor 4E (eIF4E) family","Caenorhabditis elegans","A scaffold protein for translation initiation factors","Loss-of-function mutation increased maximum lifespan by about 20%. It did not extend the lifespan of daf-16(RNAi) animals. TOR RNA interference further extended lifespan.","EIF4E","Hansen et al., 2007",17266679,"","","","ife-5, ife-1, ife-2",180393,"Cel.766","R04A9.4","","",NULL
361,"iff-1","Initiation Factor Five (eIF-5A) homologs","Caenorhabditis elegans","","RNA interference extended lifespan.","EIF5A","Hamilton et al., 2005",15998808,"","","","",176373,"Cel.10082","T05G5.10","","",NULL
362,"ifg-1","Initiation Factor 4G (eIF4G) family","Caenorhabditis elegans","A scaffold protein for translation initiation factors","RNA interference in adulthood resulted in a 55% mean lifespan extension.","EIF4G3","Curran and Ruvkun, 2007",17411345,"","","","",174322,"Cel.23043","M110.4","","",NULL
363,"ifta-2","IntraFlagellar Transport Associated","Caenorhabditis elegans","Ciliar protein","Knockouts have an extended lifespan phenotype (40-50%) and are defective in dauer formation due to defects in daf-2 receptor signalling pathway in ciliatedsensory neurons. There was no additive effect of the ifta-2 mutation on the daf-2 longevity phenotype.","RABL5","Schafer et al., 2006",16968739,"","","","",189055,"Cel.12265","T28F3.6","","",NULL
364,"Igf1","Insulin-like growth factor 1","Mus musculus","Hormone that stimulates growth","Cardiac specific overexpression results in a 23% increase in median lifespan, though no increase in maximum lifespan.","IGF1","Li et al., 2007",17973971,"Igf1","","","",16000,"Mm.268521","ENSMUSG00000020053","P05017","Igf-1 Igf-I C730016P09Rik",NULL
365,"Igf1r","Insulin-like growth factor 1 receptor","Mus musculus","IGF1 receptor that mediates growth","Mice heterozygous for IGF1R live 26% longer.","IGF1R","Holzenberger et al., 2003",12483226,"","","","",16001,"Mm.275742","ENSMUSG00000005533","Q60751","hyft CD221 IGF-1R D930020L01 A330103N21Rik",NULL
366,"Indy","I'm not dead yet protein","Drosophila melanogaster","Sodium-dependent citrate transporter","Flies heterozygotic for a disruption have extended mean (87-92%) lifespan and maximum lifespan (45%). Homozygotes for the disruption show only a 10-20% increase in mean lifespan.","SLC13A2","Rogina et al., 2000",11118146,"Slc13a2","","Indy","",40049,"Dm.2528","FBgn0036816","","anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG39",NULL
367,"inf-1","INitiation Factor","Caenorhabditis elegans","Scaffold protein for translation initiation factors","RNA interference in adulthood resulted in a up to 46% mean lifespan extension.","EIF4A2","Curran and Ruvkun, 2007",17411345,"Eif4a1","TIF2, TIF1","","inf-1",175966,"Cel.6803","F57B9.6","","",NULL
368,"InR","Insulin-like 1 receptor","Drosophila melanogaster","InR regulates cell growth and proliferation through the dP13K/dAkt pathway","Mutations result in dwarf females with extended lifespan of up to 85% and dwarf males with reduced late age-specific mortality.","IGF1R","Tatar et al., 2001",11292875,"Igf1r","","InR","daf-2",42549,"Dm.1271","FBgn0013984","","18402 CG18402 DIHR DILR dinr dInr dInR dINR DInr D",NULL
369,"ins-1","INSulin related","Caenorhabditis elegans","Encodes an insulin-like protein","Increased dosage increases lifespan by 25%.","INS","Pierce et al., 2001",11274053,"","","","",177936,"Cel.19650","F13B12.5","","",NULL
370,"ins-18","INSulin related","Caenorhabditis elegans","Encodes an insulin-like protein","RNA interference extends lifespan.","MDK","Murphy et al., 2003",12845331,"","","","",172600,"Cel.19488","T28B8.2","","",NULL
