"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
453,456,169,"increase","Overexpression of Nde1 and Nde2 resulted in a longer replicative lifespan (20-25%) on 2% glucose, but not on 0.5% glucose.","pro",NULL,"",25,"Replicative lifespan is 20-25% higher. ","Overexpression","2009 entry; quantitative data extracted in 2012.",0
454,457,170,"increase","Deletion results in chronological lifespan extension.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
455,458,171,"decrease","Knockout mice develop severe obesity, dyslipidemia, fatty liver disease, increased levels of DNA damage in the mtDNA, and have a tendency to develop hyperinsulinemia.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
456,459,84,"increase","NF1 mutants had a shortened lifespan and exhibited increased vulnerability to heat and oxidative stress as well as reduced mitochondrial respiration and elevated ROS production. Overexpression of NF1 increased mitochondrial respiration and reduced ROS production. It increased mean lifespan by 49% in males and 68% in females and maximum lifespan by 38% in males and 52% in females. It also improved reproductive fitness.","pro",52,"Maximum male lifespan is 38% higher; Maximum female lifespan is 52% higher.",68,"Average male lifespan is 49% higher; Average female lifespan is 69% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
457,460,172,"decrease","Deletion results in animals with defects in movement, pharyngeal pumping and egg-laying, and with a reduced lifespan.","pro",NULL,"",NULL,"","Deletion","",0
458,461,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","",0
459,462,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
460,463,98,"decrease","RNA interference shortened lifespan and altered fatty acid composition.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
461,464,173,"increase","Gene inactivation by RNA interference led to a loss of fat stores in the intestine and a 40% increase in lifespan.","anti",NULL,"",40,"Lifespan is 40% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
462,465,97,"decrease","nnt-1 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 18% in wild type animals, 20% in daf-2 mutants and 16% in daf-2/gld-1 mutants.","pro",NULL,"",18,"Average lifespan is up to 18% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
463,466,174,"decrease","Knockout males exhibited premature death and age-related cardiac dysfunction but not females.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
464,467,24,"increase","RNA interference in adulthood resulted in a 32% mean lifespan extension.","anti",NULL,"",32,"Average lifespan is 32% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
465,468,9,"decrease","RNA interference decreased median lifespan by 11% in wild type animals, 38% in a daf-2 background and 22% in daf-2/daf-16 double mutants.","pro",NULL,"",11,"Average lifespan is 11% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
466,469,9,"decrease","RNA interference decreased median lifespan by 14% in wild type animals, 36% in a daf-2 background and 11% in daf-2/daf-16 double mutants.","pro",NULL,"",14,"Median lifespan is 14% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
467,470,175,"increase","Increased dosage increases sir2-dependent silencing and extends yeast replicative lifespan by up to 60%.","pro",NULL,"",60,"Replicative lifespan is up to 60% higher. ","Increased dosage","2009 entry; quantitative data extracted in 2012.",0
468,471,23,"increase","RNA interference in adulthood resulted in a 11% mean lifespan extension.","anti",NULL,"",11,"Average lifespan is 11% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
469,472,81,"decrease","Mutation reduced maximum lifespan by 40%.","anti",40,"Maximum lifespan is 40% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
470,473,9,"decrease","RNA interference decreased median lifespan by 27% in wild type animals, 38% in a daf-2 background and 22% in daf-2/daf-16 double mutants.","pro",NULL,"",27,"Median lifespan is 27% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
471,474,9,"decrease","RNA interference decreased median lifespan by 40% in a daf-2 background and 11% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that ntl-3 is needed for the daf-2 lifespan extension.",0
472,475,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
473,476,13,"increase","Mutations result in developmental arrest and increased lifespan.","anti",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
474,477,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
475,478,12,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
476,479,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
477,480,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
478,481,116,"increase","Loss-of-function mutation extended mean lifespan by 10-30% but not maximum lifespan. Life-extension was dependent on daf-16 but cumulative with daf-2 mutations.","anti",NULL,"",30,"Average lifespan is 10-30% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
479,482,176,"increase","Deletion of pept1 (also called opt-2, pep-2) results in retarded development, reduced body size and extended reproductive lifespan. It also further extends (60%) the life-extension caused by daf-2 mutations.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012. ",0
480,483,177,"increase","Loss-of-function mutation resulted in olfactory defects, altered adult metabolism, enhanced stress resistance, and life-extension. Female Or83b2 mutant flies showed a 56% increase in median lifespan and a 30% increase in maximum lifespan. Males were also long-lived, though to a smaller degree and maximum lifespan was not extended. Heterozygous mutants of both sexes showed an intermediate longevity. Dietary restriction further extended lifespan.","anti",30,"Maximum female lifespan is 30% higher.",56,"Median female lifespan is 56% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
481,484,55,"increase","Loss-of-function mutation increases lifespan by up to 40%.","anti",NULL,"",40,"Lifespan is up to 40% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
482,485,55,"increase","Recessive loss-of-function alleles can extend lifespan.","anti",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
483,486,55,"increase","Loss-of-function mutation can increase lifespan by 100-150%.","anti",NULL,"",150,"Lifespan is 100-150% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
484,487,55,"increase","Loss-of-function mutation increases lifespan by up to 40%.","anti",NULL,"",40,"Lifespan is up to 40% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
485,488,178,"increase","The dominant ovoD1 allele extends female lifespan by approximately 50%. It does not synergize or prevent life-extension caused by chico.","anti",NULL,"",50,"Female lifespan is 50% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
486,489,179,"increase","Expression of dominant-negative versions of p53 in adult neurons extended lifespan by 58% in females and 32% in males and increased resistance to genotoxic stress.","anti",NULL,"",58,"Female lifespan is 58% higher; male lifespan is 32% higher.","Dominant negative mutation","2009 entry; quantitative data extracted in 2012.",0
487,490,134,"increase","RNA interference in adulthood resulted in a 30% mean lifespan extension.","anti",NULL,"",30,"Average lifespan is 30% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
488,491,134,"increase","RNA interference increased maximum lifespan by 10-15%.","anti",15,"Maximum lifespan is 10-15% higher.",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
489,492,180,"increase","Genetic deletion of PAPPA extended mean and maximum lifespan by 30-40% and reduced cancer incidence with no reduction in food intake or secondary endocrine abnormalities.","anti",40,"Maximum lifespan is 30-40% higher.",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
490,493,105,"increase","RNA interference slightly shortens lifespan and suppresses life-extension by sir-2.1 overexpression but not by daf-2 mutants. Overexpression extends lifespan by 30%, but is suppressed by RNA interference of daf-16.","pro",NULL,"",30,"Lifespan is 30% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
491,494,12,"increase","RNA interference increased mean lifespan by 9-16%.","anti",NULL,"",16,"Average lifespan is 9-16% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
492,495,12,"increase","RNA interference increased mean lifespan by 13-21%.","anti",NULL,"",21,"Average lifespan is 13-21% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
493,496,181,"increase","Mice overexpressing the pro-apoptotic protein domain were resistant to tumours. Transgenic animals showed normal fertility, viability, and ageing, though they were slightly longer-lived possibly because of the cancer-resistance.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
494,497,182,"increase","Overexpression in skeletal muscle results in an increased number of mitochondria and extended lifespan. Transgenic mice ate 60% more than controls but had half the body weight and 10% of the body fat.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
495,498,183,"increase","Overexpression extended lifespan by 32-39% at 29 degrees but not at 25 degrees.","pro",NULL,"",39,"Lifespan is 32-39% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
496,499,184,"increase","Loss-of-function alleles extend lifespan by 60%.","anti",NULL,"",60,"Lifespan is 60% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
497,500,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.
JPM: changed name from pes-2.2 to pes-2.1 in 2014.",0
498,501,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
499,502,115,"increase","Mutation extended lifespan.","anti",NULL,"",NULL,"","Mutation","",0
500,503,185,"decrease","PHA-4 may play a role in the life-extending effects of dietary restriction. RNA interference decreased lifespan of wild-type worms, but not of daf-2 mutants or of animals with defective electron transport chains. Overexpression slightly increased longevity.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
501,504,186,"decrease","Deletion results in a reduction in mean and maximum replicative lifespan and a defect in mitochondrial membrane potential.","fitness",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
502,505,186,"decrease","Deletion results in a reduction in mean and maximum replicative lifespan and a defect in mitochondrial membrane potential.","fitness",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
